Modelo,Modo,Augmentation,Acurácia (média),Acurácia (std),Acc Test (média),Acc Test (std),F1 Macro (média),F1 Macro (std),F1 Weighted (média),F1 Weighted (std)
EfficientnetV2_B0,feature_extraction,Com Aug,0.5701754385964913,0.1095613683929544,0.5652173913043478,0.0783815494666084,0.5615659159818133,0.0776773967438636,0.5615659159818133,0.0776773967438637
EfficientnetV2_B0,feature_extraction,Sem Aug,0.5701754385964912,0.0662266178532521,0.5,0.0783815494666084,0.484030134030134,0.0881923427132295,0.484030134030134,0.0881923427132295
EfficientnetV2_B0,fine_tuning,Com Aug,0.9824561403508772,0.0303868562731381,0.9855072463768116,0.01255109280847,0.9855003940110324,0.012557027131311,0.9855003940110324,0.012557027131311
EfficientnetV2_B0,fine_tuning,Sem Aug,0.912280701754386,0.0547806841964772,0.9420289855072465,0.0125510928084701,0.9418984003869492,0.0125934790172167,0.9418984003869492,0.0125934790172167
EfficientnetV2_B0,scratch,Com Aug,0.9649122807017544,0.015193428136569,0.920289855072464,0.0547089451831213,0.9193130785683976,0.055795362473864,0.9193130785683978,0.0557953624738639
EfficientnetV2_B0,scratch,Sem Aug,0.9473684210526316,0.0263157894736843,0.8985507246376812,0.0452536086840464,0.8984338831828391,0.0451825891363401,0.8984338831828391,0.0451825891363401
EfficientnetV2_B1,feature_extraction,Com Aug,0.6842105263157895,0.1367408532291219,0.5579710144927535,0.0878576496592908,0.5229195025647035,0.1343874648187392,0.5229195025647035,0.1343874648187392
EfficientnetV2_B1,feature_extraction,Sem Aug,0.6754385964912281,0.1752191610126156,0.5434782608695652,0.0,0.5181069487404691,0.0405668650593391,0.5181069487404691,0.0405668650593391
EfficientnetV2_B1,fine_tuning,Com Aug,0.9736842105263158,0.0,0.9710144927536232,0.01255109280847,0.971007640387844,0.0125451584856291,0.971007640387844,0.0125451584856291
EfficientnetV2_B1,fine_tuning,Sem Aug,0.9561403508771932,0.015193428136569,0.9420289855072465,0.0251021856169402,0.9419740887132192,0.0250546435987263,0.9419740887132192,0.0250546435987263
EfficientnetV2_B1,scratch,Com Aug,0.9824561403508772,0.015193428136569,0.8768115942028984,0.0125510928084701,0.8757106919872877,0.0134748177699112,0.8757106919872877,0.0134748177699112
EfficientnetV2_B1,scratch,Sem Aug,0.9473684210526316,0.0455802844097073,0.8405797101449276,0.0547089451831213,0.8397938052564475,0.0555196149637288,0.8397938052564475,0.0555196149637288
